branch,beta,u0,v0,u_min,u_max,mu1_real,mu1_imag,mu1_abs,mu2_real,mu2_imag,mu2_abs,shooting_residual,liouville_defect,newton_iterations
zero,0.26,-0.1269146682147379,0.0224326394115472,-0.12887611265289112,0.12887611270015947,181.75989024557018,0.0,181.75989024557018,0.0006101526482780173,0.0,0.0006101526482780173,9.317546734166626e-14,1.719319131510133e-11,5
zero,0.27,-0.1318598188466403,0.023324961295006368,-0.1339004158683871,0.13390041591013682,180.66922414437474,0.0,180.66922414437474,0.0006138360249110519,0.0,0.0006138360249110519,6.106226635438361e-14,1.2025186402198074e-11,5
zero,0.28,-0.13681227531862092,0.02422067868034406,-0.13893245306563945,0.1389324531008045,179.54357642020022,0.0,179.54357642020022,0.0006176844674001813,0.0,0.0006176844674001813,6.242228955954943e-14,9.634487652121493e-12,5
zero,0.29,-0.14177232341871143,0.02511992721627412,-0.14397252736775684,0.1439725273952518,178.3835997370006,0.0,178.3835997370006,0.000621701089897897,0.0,0.000621701089897897,5.079270337660091e-14,1.089037193757747e-11,5
zero,0.3,-0.14674025063325977,0.026022843663769158,-0.1490209437626658,0.14902094378171762,177.18996457540834,0.0,177.18996457540834,0.0006258891616255369,0.0,0.0006258891616255369,2.7394753132625738e-14,1.273448013705547e-11,5
zero,0.31,-0.1517163462148452,0.0269295659418886,-0.15407800917837314,0.1540780091870782,175.96335864206583,0.0,175.96335864206583,0.000630252111747609,0.0,0.000630252111747609,2.1788126858268697e-14,9.821740643012333e-12,5
zero,0.32,-0.15670090125098884,0.02784023317428253,-0.1591440325577891,0.15914403255574566,174.704486265519,0.0,174.704486265519,0.000634793534757705,0.0,0.000634793534757705,3.0773994463828558e-15,8.257353134588641e-12,5
zero,0.33,-0.16169420873368956,0.02875498573640156,-0.16421932493642344,0.1642193249235845,173.41406777939943,0.0,173.41406777939943,0.0006395171959923118,0.0,0.0006395171959923118,1.3766765505351941e-14,8.504294490840891e-12,5
zero,0.34,-0.1666965636298206,0.029673965303442452,-0.1693041995195663,0.16930419949640843,172.0928388935501,0.0,172.0928388935501,0.0006444270376846362,0.0,0.0006444270376846362,2.581268532253489e-15,9.218431573643215e-12,5
zero,0.35000000000000003,-0.17170826295242064,0.0305973148990617,-0.17439897176134408,0.17439897172859656,170.74155005385472,0.0,170.74155005385472,0.0006495271850184281,0.0,0.0006495271850184281,2.3120394487818885e-14,7.749592634276325e-12,5
zero,0.36,-0.1767296058329127,0.031525178944886136,-0.17950395944421932,0.17950395940299843,169.36096579144245,0.0,169.36096579144245,0.0006548219529349808,0.0,0.0006548219529349808,1.3156142841808105e-14,6.950953701512219e-12,5
zero,0.37,-0.1817608935944905,0.03245770331108996,-0.1846194827596884,0.18461948271166467,167.95186406208603,0.0,167.95186406208603,0.0006603158529685516,0.0,0.0006603158529685516,1.2073675392798577e-14,1.1701806190700381e-11,5
zero,0.38,-0.1868024298255253,0.033395035366706974,-0.18974586439062535,0.18974586433784313,166.51503557632353,0.0,166.51503557632353,0.000666013600465476,0.0,0.000666013600465476,1.1435297153639112e-14,1.0341921763412643e-11,5
zero,0.39,-0.19185452045589535,0.03433732403301525,-0.1948834295947442,0.19488342953910645,165.05128312147718,0.0,165.05128312147718,0.0006719201224569815,0.0,0.0006719201224569815,2.983724378680108e-16,4.097208683440101e-12,5
zero,0.4,-0.1969174738325664,0.03528471983575538,-0.20003250628775687,0.20003250623176197,163.56142087579676,0.0,163.56142087579676,0.0006780405658872724,0.0,0.0006780405658872724,1.3961054534661343e-14,5.277736581099646e-12,5
plus,0.0,1.7320508075688772,0.0,1.732050807568873,1.7320508075688819,0.1926151723035587,0.2716627942293441,0.33301843548071713,0.1926151723035587,-0.2716627942293441,0.33301843548071713,7.878976273893676e-18,5.829337013096847e-12,1
plus,0.01,1.718471053351114,0.018893632917381165,1.7087573632383617,1.7552530079039728,0.19251063143989777,0.27173688588715084,0.33301843547923077,0.19251063143989777,-0.27173688588715084,0.33301843547923077,2.9004576518332215e-15,4.839406653189826e-12,4
plus,0.02,1.704755173488303,0.03772596601989743,1.6853826697949823,1.7783539306535854,0.19219667682587854,0.2719590332859264,0.3330184354787687,0.19219667682587854,-0.2719590332859264,0.3330184354787687,6.245004513516506e-16,4.5315973196125015e-12,4
plus,0.03,1.6908977160521492,0.05648083778492509,1.6619367046908418,1.8013434830847792,0.19167231196743367,0.2723288511956017,0.3330184354783641,0.19167231196743367,-0.2723288511956017,0.3330184354783641,1.1032841307212493e-15,4.262146191535976e-12,4
plus,0.04,1.6768932778715786,0.0751419919817776,1.6384294486287052,1.8242114930514786,0.19093587467031697,0.27284568923119035,0.3330184354779211,0.19093587467031697,-0.27284568923119035,0.3330184354779211,9.777775811237177e-12,3.967090544954033e-12,3
plus,0.05,1.6627365423185436,0.0936930769717513,1.6148709063679436,1.8469476900221076,0.18998503503876146,0.27350861929578474,0.333018435477326,0.18998503503876146,-0.27350861929578474,0.333018435477326,7.151196301791174e-12,3.570727047375044e-12,3
plus,0.06,1.6484223182690585,0.11211764679212335,1.5912710921301314,1.8695416871967405,0.18881679277821983,0.2743164179045147,0.3330184354762024,0.18881679277821983,-0.2743164179045147,0.3330184354762024,5.1497833775115964e-12,2.822325706475226e-12,3
plus,0.07,1.6339455801238079,0.13039916471816285,1.567638663723469,1.8919829653136622,0.18742747392144166,0.27526754328448444,0.33301843547534754,0.18742747392144166,-0.27526754328448444,0.33301843547534754,3.654437863431781e-12,2.252989461659638e-12,3
